           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    2.78320E-01   -2.36961E-02    1.19105E-02   -1.26108E-01    1.15419E-01    2.97486E-01   -3.17593E-01    1.03956E-01   -5.55220E-01    8.41844E-02    4.97259E-01    1.00380E-03   -2.23646E-02   -6.44942E-01   -8.41321E-02    2.26444E-01    1.91019E-01
    2.83203E-01   -2.11464E-02    1.26997E-02   -8.49651E-02    3.88539E-02    3.33821E-01   -1.21851E-01   -1.05154E-01   -6.83537E-01    1.45486E-02    5.27056E-01   -5.95562E-03   -1.06970E-01   -5.46649E-01   -2.69476E-01    3.03678E-01   -1.89855E-02
    2.88086E-01   -1.89536E-02    1.35341E-02   -4.65683E-02   -3.18139E-02    3.67139E-01    6.04175E-02   -2.99866E-01   -8.01917E-01   -4.98918E-02    5.54012E-01   -1.24558E-02   -1.86272E-01   -4.54419E-01   -4.41504E-01    3.75086E-01   -2.13831E-01
    2.92969E-01   -1.65632E-02    1.36633E-02   -2.00168E-02   -8.46767E-02    3.93723E-01    1.88905E-01   -4.37537E-01   -8.92001E-01   -9.73106E-02    5.77755E-01   -1.69597E-02   -2.39928E-01   -3.93622E-01   -5.66118E-01    4.28481E-01   -3.54840E-01
    2.97852E-01   -1.35894E-02    1.25573E-02   -1.17999E-02   -1.11203E-01    4.10901E-01    2.34849E-01   -4.87738E-01   -9.40643E-01   -1.19247E-01    5.97988E-01   -1.83718E-02   -2.53456E-01   -3.82330E-01   -6.18960E-01    4.55144E-01   -4.14377E-01
    3.02734E-01   -9.90851E-03    1.00250E-02   -2.44237E-02   -1.08002E-01    4.17582E-01    1.87104E-01   -4.38689E-01   -9.42635E-01   -1.12370E-01    6.14513E-01   -1.62708E-02   -2.21320E-01   -4.27476E-01   -5.90534E-01    4.51645E-01   -3.81643E-01
    3.07617E-01   -5.69395E-03    6.25952E-03   -5.58779E-02   -7.75089E-02    4.14472E-01    5.44956E-02   -2.99751E-01   -9.01767E-01   -7.91597E-02    6.27247E-01   -1.09998E-02   -1.48133E-01   -5.23357E-01   -4.88191E-01    4.20546E-01   -2.64929E-01
    3.12500E-01   -1.38775E-03    1.80192E-03   -1.00054E-01   -2.74501E-02    4.03910E-01   -1.36027E-01   -9.94666E-02   -8.29998E-01   -2.73763E-02    6.36213E-01   -3.59514E-03   -4.77141E-02   -6.52812E-01   -3.34571E-01    3.69850E-01   -8.98491E-02
    3.17383E-01    2.38645E-03   -2.56916E-03   -1.48029E-01    3.08024E-02    3.89361E-01   -3.45059E-01    1.20438E-01   -7.44911E-01    3.15879E-02    6.41516E-01    4.43046E-03    5.98024E-02   -7.90809E-01   -1.62830E-01    3.11306E-01    1.06066E-01
    3.22266E-01    4.95062E-03   -5.99917E-03   -1.89940E-01    8.46383E-02    3.74676E-01   -5.29035E-01    3.13838E-01   -6.66000E-01    8.51140E-02    6.43308E-01    1.14060E-02    1.52191E-01   -9.09706E-01   -9.64504E-03    2.57926E-01    2.81284E-01
